;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 08:46:21.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-084621.log">
[16]> (algoritmo-genetico 10 10 2 #'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 01 | Resultado: 370 | Constantes: 0.73 0.24 0.65
  --> Individuo: 02 | Resultado: 370 | Constantes: 0.76 0.03 0.65
  --> Individuo: 03 | Resultado: 340 | Constantes: 0.10 0.94 0.31
  --> Individuo: 04 | Resultado: 320 | Constantes: 0.15 0.64 0.75
  --> Individuo: 05 | Resultado: 320 | Constantes: 0.14 0.54 0.83
  --> Individuo: 06 | Resultado: 300 | Constantes: 0.05 0.89 0.45
  --> Individuo: 07 | Resultado: 320 | Constantes: 0.06 0.74 0.67
  --> Individuo: 08 | Resultado: 320 | Constantes: 0.09 0.85 0.52
  --> Individuo: 09 | Resultado: 320 | Constantes: 0.06 0.97 0.24
  --> Individuo: 10 | Resultado: 370 | Constantes: 0.75 0.64 0.13

=============== Fim da Geracao 01 | Media: 335.0000 | Best: 370.0000 | Constantes: 0.73 0.24 0.65 ==============

  --> Individuo: 01 | Resultado: 420 | Constantes: 0.07 0.94 0.33
  --> Individuo: 02 | Resultado: 360 | Constantes: 0.05 0.90 0.42
  --> Individuo: 03 | Resultado: 330 | Constantes: 0.06 0.70 0.71
  --> Individuo: 04 | Resultado: 430 | Constantes: 0.16 0.68 0.71
  --> Individuo: 05 | Resultado: 330 | Constantes: 0.05 0.65 0.76
  --> Individuo: 06 | Resultado: 450 | Constantes: 0.15 0.88 0.45
  --> Individuo: 07 | Resultado: 430 | Constantes: 0.98 0.03 0.17
  --> Individuo: 08 | Resultado: 480 | Constantes: 0.64 0.54 0.55
  --> Individuo: 09 | Resultado: 400 | Constantes: 0.14 0.61 0.78
  --> Individuo: 10 | Resultado: 400 | Constantes: 0.15 0.58 0.80

=============== Fim da Geracao 02 | Media: 403.0000 | Best: 480.0000 | Constantes: 0.64 0.54 0.55 ==============

  --> Individuo: 01 | Resultado: 360 | Constantes: 0.19 0.79 0.58
  --> Individuo: 02 | Resultado: 360 | Constantes: 0.13 0.74 0.66
  --> Individuo: 03 | Resultado: 360 | Constantes: 0.05 0.94 0.33
  --> Individuo: 04 | Resultado: 360 | Constantes: 0.07 0.90 0.42
  --> Individuo: 05 | Resultado: 340 | Constantes: 0.06 0.98 0.19
  --> Individuo: 06 | Resultado: 370 | Constantes: 0.92 0.03 0.39
  --> Individuo: 07 | Resultado: 360 | Constantes: 0.54 0.51 0.67
  --> Individuo: 08 | Resultado: 360 | Constantes: 0.18 0.69 0.70
  --> Individuo: 09 | Resultado: 360 | Constantes: 0.19 0.69 0.70
  --> Individuo: 10 | Resultado: 360 | Constantes: 0.54 0.75 0.38

=============== Fim da Geracao 03 | Media: 359.0000 | Best: 370.0000 | Constantes: 0.92 0.03 0.39 ==============

  --> Individuo: 01 | Resultado: 360 | Constantes: 0.05 0.98 0.19
  --> Individuo: 02 | Resultado: 340 | Constantes: 0.06 0.94 0.33
  --> Individuo: 03 | Resultado: 350 | Constantes: 0.15 0.90 0.40
  --> Individuo: 04 | Resultado: 310 | Constantes: 0.05 0.82 0.57
  --> Individuo: 05 | Resultado: 350 | Constantes: 0.19 0.93 0.32
  --> Individuo: 06 | Resultado: 310 | Constantes: 0.06 0.70 0.71
  --> Individuo: 07 | Resultado: 360 | Constantes: 0.23 0.84 0.48
  --> Individuo: 08 | Resultado: 370 | Constantes: 0.80 0.03 0.60
  --> Individuo: 09 | Resultado: 370 | Constantes: 0.81 0.03 0.59
  --> Individuo: 10 | Resultado: 370 | Constantes: 0.64 0.61 0.47

=============== Fim da Geracao 04 | Media: 349.0000 | Best: 370.0000 | Constantes: 0.80 0.03 0.60 ==============

  --> Individuo: 01 | Resultado: 420 | Constantes: 0.63 0.73 0.26
  --> Individuo: 02 | Resultado: 370 | Constantes: 0.30 0.04 0.95
