;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:34:51.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093451.log">
[5]> (algoritmo-genetico 20 100 10 
#'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 01 | Resultado: 470 | Parametros: 0.79 0.07 0.61
  --> Individuo: 02 | Resultado: 470 | Parametros: 0.92 0.01 0.39
  --> Individuo: 03 | Resultado: 475 | Parametros: 0.55 0.53 0.64
  --> Individuo: 04 | Resultado: 480 | Parametros: 0.36 0.69 0.62
  --> Individuo: 05 | Resultado: 440 | Parametros: 0.23 0.63 0.74
  --> Individuo: 06 | Resultado: 455 | Parametros: 0.33 0.59 0.74
  --> Individuo: 07 | Resultado: 470 | Parametros: 0.73 0.06 0.68
  --> Individuo: 08 | Resultado: 460 | Parametros: 0.40 0.91 0.03
  --> Individuo: 09 | Resultado: 465 | Parametros: 0.98 0.14 0.16
  --> Individuo: 10 | Resultado: 475 | Parametros: 0.61 0.46 0.64
  --> Individuo: 11 | Resultado: 430 | Parametros: 0.54 0.79 0.28
  --> Individuo: 12 | Resultado: 470 | Parametros: 0.73 0.36 0.58
  --> Individuo: 13 | Resultado: 470 | Parametros: 0.25 0.89 0.39
  --> Individuo: 14 | Resultado: 455 | Parametros: 0.37 0.15 0.92
  --> Individuo: 15 | Resultado: 470 | Parametros: 0.61 0.53 0.58
  --> Individuo: 16 | Resultado: 465 | Parametros: 0.71 0.52 0.48
  --> Individuo: 17 | Resultado: 445 | Parametros: 0.95 0.28 0.11
  --> Individuo: 18 | Resultado: 470 | Parametros: 0.43 0.70 0.57
  --> Individuo: 19 | Resultado: 445 | Parametros: 0.78 0.63 0.00
  --> Individuo: 20 | Resultado: 465 | Parametros: 0.29 0.94 0.20
  --> Individuo: 21 | Resultado: 445 | Parametros: 0.69 0.72 0.11
  --> Individuo: 22 | Resultado: 465 | Parametros: 0.86 0.39 0.32
  --> Individuo: 23 | Resultado: 460 | Parametros: 0.53 0.81 0.24
  --> Individuo: 24 | Resultado: 465 | Parametros: 0.94 0.02 0.33
  --> Individuo: 25 | Resultado: 470 | Parametros: 0.49 0.64 0.59
  --> Individuo: 26 | Resultado: 470 | Parametros: 0.60 0.18 0.78
  --> Individuo: 27 | Resultado: 350 | Parametros: 0.08 0.31 0.95
  --> Individuo: 28 | Resultado: 420 | Parametros: 0.18 0.66 0.73
  --> Individuo: 29 | Resultado: 350 | Parametros: 0.07 0.10 0.99
  --> Individuo: 30 | Resultado: 470 | Parametros: 0.42 0.48 0.77
  --> Individuo: 31 | Resultado: 470 | Parametros: 0.23 0.94 0.24
  --> Individuo: 32 | Resultado: 470 | Parametros: 0.64 0.33 0.69
  --> Individuo: 33 | Resultado: 470 | Parametros: 0.65 0.17 0.74
  --> Individuo: 34 | Resultado: 470 | Parametros: 0.56 0.35 0.75
  --> Individuo: 35 | Resultado: 465 | Parametros: 0.35 0.71 0.61
  --> Individuo: 36 | Resultado: 445 | Parametros: 0.31 0.48 0.82
  --> Individuo: 37 | Resultado: 470 | Parametros: 0.45 0.26 0.85
  --> Individuo: 38 | Resultado: 465 | Parametros: 0.76 0.37 0.54
  --> Individuo: 39 | Resultado: 345 | Parametros: 0.05 0.71 0.70
  --> Individuo: 40 | Resultado: 410 | Parametros: 0.16 0.23 0.96
