;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:38:02.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093802.log">
[3]> (algoritmo-genetico 20 100 10 #'custo-oportunidade #'heuristica-pontuacao-1 #'custo-buracos #'heuristica-pontuacao-2 #'custo-altura-agregada)
  --> Individuo: 01 | Resultado: 445 | Parametros: 0.58 0.10 0.35 0.03 0.73
  --> Individuo: 02 | Resultado: 350 | Parametros: 0.16 0.79 0.52 0.12 0.24
  --> Individuo: 03 | Resultado: 310 | Parametros: 0.01 0.44 0.71 0.22 0.50
  --> Individuo: 04 | Resultado: 450 | Parametros: 0.56 0.52 0.41 0.24 0.44
  --> Individuo: 05 | Resultado: 425 | Parametros: 0.33 0.55 0.56 0.45 0.28
  --> Individuo: 06 | Resultado: 310 | Parametros: 0.03 0.22 0.17 0.18 0.94
  --> Individuo: 07 | Resultado: 310 | Parametros: 0.03 0.63 0.46 0.52 0.34
  --> Individuo: 08 | Resultado: 410 | Parametros: 0.55 0.59 0.11 0.55 0.21
  --> Individuo: 09 | Resultado: 455 | Parametros: 0.61 0.39 0.05 0.69 0.06
  --> Individuo: 10 | Resultado: 310 | Parametros: 0.04 0.42 0.56 0.17 0.69
  --> Individuo: 11 | Resultado: 405 | Parametros: 0.32 0.27 0.65 0.53 0.35
  --> Individuo: 12 | Resultado: 420 | Parametros: 0.18 0.06 0.61 0.52 0.56
  --> Individuo: 13 | Resultado: 345 | Parametros: 0.15 0.67 0.52 0.32 0.39
  --> Individuo: 14 | Resultado: 465 | Parametros: 0.55 0.01 0.53 0.60 0.25
  --> Individuo: 15 | Resultado: 405 | Parametros: 0.24 0.44 0.15 0.34 0.78
  --> Individuo: 16 | Resultado: 385 | Parametros: 0.28 0.77 0.22 0.44 0.29
  --> Individuo: 17 | Resultado: 415 | Parametros: 0.65 0.05 0.64 0.25 0.33
  --> Individuo: 18 | Resultado: 310 | Parametros: 0.04 0.59 0.44 0.63 0.24
  --> Individuo: 19 | Resultado: 450 | Parametros: 0.51 0.24 0.12 0.60 0.55
  --> Individuo: 20 | Resultado: 420 | Parametros: 0.48 0.27 0.42 0.03 0.72
  --> Individuo: 21 | Resultado: 400 | Parametros: 0.39 0.48 0.59 0.51 0.09
  --> Individuo: 22 | Resultado: 445 | Parametros: 0.62 0.29 0.01 0.56 0.46
  --> Individuo: 23 | Resultado: 415 | Parametros: 0.67 0.07 0.64 0.25 0.27
  --> Individuo: 24 | Resultado: 445 | Parametros: 0.47 0.02 0.60 0.62 0.20
  --> Individuo: 25 | Resultado: 405 | Parametros: 0.41 0.34 0.27 0.58 0.56
  --> Individuo: 26 | Resultado: 400 | Parametros: 0.28 0.12 0.49 0.53 0.61
  --> Individuo: 27 | Resultado: 445 | Parametros: 0.46 0.24 0.78 0.35 0.07
  --> Individuo: 28 | Resultado: 450 | Parametros: 0.60 0.43 0.46 0.45 0.18
  --> Individuo: 29 | Resultado: 445 | Parametros: 0.43 0.08 0.13 0.35 0.82
  --> Individuo: 30 | Resultado: 410 | Parametros: 0.58 0.02 0.45 0.32 0.60
  --> Individuo: 31 | Resultado: 400 | Parametros: 0.75 0.03 0.34 0.39 0.41
  --> Individuo: 32 | Resultado: 330 | Parametros: 0.09 0.27 0.68 0.56 0.38
  --> Individuo: 33 | Resultado: 310 | Parametros: 0.06 0.28 0.12 0.75 0.58
  --> Individuo: 34 | Resultado: 310 | Parametros: 0.00 0.33 0.74 0.06 0.58
  --> Individuo: 35 | Resultado: 445 | Parametros: 0.46 0.35 0.34 0.41 0.62
  --> Individuo: 36 | Resultado: 380 | Parametros: 0.18 0.50 0.58 0.28 0.55
  --> Individuo: 37 | Resultado: 310 | Parametros: 0.06 0.66 0.25 0.44 0.55
  --> Individuo: 38 | Resultado: 400 | Parametros: 0.08 0.27 0.62 0.02 0.73
  --> Individuo: 39 | Resultado: 455 | Parametros: 0.55 0.42 0.58 0.42 0.06
  --> Individuo: 40 | Resultado: 395 | Parametros: 0.41 0.67 0.34 0.49 0.18
