;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:34:42.

"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 700" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 700" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 600" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 600" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 600" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 100" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 400" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 600" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 200" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 500" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
"       HP 0.6 | HA 0.2 | CO 0.2 RESULTADO: 300" 
