Teste Tempo Pontuacao
0 240.06 0
1 39.33 300
2 240.14 0
3 240.09 0
4 3.80 600
5 52.38 600
6 5.42 500
7 240.25 0
8 115.87 400
9 240.23 0
10 10.82 500
11 240.17 0
12 240.14 0
13 240.04 0
14 40.43 400
15 188.88 300
16 240.16 0
17 3.07 400
18 240.05 0
19 240.17 0
20 46.08 300
21 51.75 300
22 2.94 600
23 240.04 0
24 240.04 0
25 240.09 0
26 15.87 500
27 35.23 600
28 240.06 0
29 240.10 0
30 43.29 300
31 240.23 0
32 91.74 500
33 151.87 400
34 240.10 0
35 240.07 0
36 13.45 300
37 240.03 0
38 139.97 300
39 240.04 0
40 240.19 0
41 23.40 500
42 86.44 300
43 44.12 400
44 64.19 400
45 240.12 0
46 5.61 600
47 240.07 0
48 2.08 500
49 240.21 0
50 30.98 300
51 240.05 0
52 240.14 0
53 240.11 0
54 240.12 0
55 240.12 0
56 240.09 0
57 240.18 0
58 58.15 500
59 46.89 100
60 21.25 400
61 240.09 0
62 240.49 0
63 240.08 0
64 13.56 400
65 240.33 0
66 5.44 400
67 46.48 600
68 240.17 0
69 240.35 0
70 12.04 400
71 22.76 300
72 5.17 300
73 240.03 0
74 240.25 0
75 37.42 600
76 15.97 400
77 164.63 300
78 240.07 0
79 240.09 0
80 240.07 0
81 170.29 400
82 221.13 300
83 35.09 300
84 41.18 300
85 240.17 0
86 169.98 100
87 48.70 300
88 240.17 0
89 40.15 400
90 2.61 400
91 240.03 0
92 240.15 0
93 240.16 0
94 240.22 0
95 240.05 0
96 240.24 0
97 240.06 0
98 240.58 0
99 240.04 0
